Vendor Name,DOJ,Total Sales
FlexxCocaine,17.09.2020,886
hardcoke,09.04.2022,248
DAGO37,13.07.2022,241
Bulls,23.04.2022,524
for4dream,27.05.2022,678
SpliceCoke,26.09.2022,685
ColumbianCokeCO,23.02.2023,235
Plamorica,08.03.2023,132
trailblazer,04.06.2021,593
MASTOK,21.08.2021,112
Adis1990,23.07.2021,271
T4ZZ,24.02.2021,644
D1BODE,08.02.2023,185
xarthe33,27.01.2023,532
predator,16.10.2022,305
dmtdex,11.08.2022,283
urieL,07.11.2021,474
kite,18.12.2020,649
NexuS,18.10.2020,314
BigHiLL15,18.07.2022,314
brokenchemist,26.09.2022,411
CapitalPharmacy,18.12.2020,5837
DarkWeed,08.11.2020,1865
razzy,27.06.2021,249
KUSHBANANA,16.09.2021,419
yaba0101,11.09.2022,196
ByPGN,23.05.2022,577
Capri-Guns,13.06.2022,117
DarkWorldCitizenship,16.07.2022,893
XM-H4CK3R,19.05.2022,204
Jdkcarding,22.08.2022,523
CaptainTransfers,11.08.2022,1383
GardenSpice,05.12.2022,214
