Product Name,Price,Vendor Name,Category
3 Gram Cocaine Powder High Quality 100% Pure (Best),$120.00,FlexxCocaine,Cocaine
10 Gram Cocaine Powder High Quality 100% Pure (Best),$320.00,FlexxCocaine,Cocaine
20 Gram Cocaine Powder High Quality 100% Pure (Best),$560.00,FlexxCocaine,Cocaine
5 Gram Fishscale Cocaine,$150.00,hardcoke,Cocaine
3 Gram Ultraclean 100% Pure Cocaine,$100.00,DAGO37,Cocaine
3 Gram Colombian Cocaine High Quality,$130.00,Bulls,Cocaine
3 Gram Fishscale Cocaine AAA Quality,$80.00,for4dream,Cocaine
Crack Cocaine Pure Uncut – 5GR,$160.00,SpliceCoke,Cocaine
Bolivian Brick Cocaine Pure (High Quality) – 5GR,$170.00,SpliceCoke,Cocaine
Peruvian Cocaine 92% Pure – 5GR (High Quality),$145.00,SpliceCoke,Cocaine
Cheap Cocaine Clearance – 3.5GR,$95.00,SpliceCoke,Cocaine
Columbian Cocaine 91% Pure – 20GR,$370.00,ColumbianCokeCO,Cocaine
3gr - Fish Scale Cocaine,$65.00,Plamorica,Cocaine
5 Gram - MDMA (Crystal),$130.00,trailblazer,MDMA
5 Gram - Dutch MDMA,$150.00,trailblazer,MDMA
3 Gram - Cola Dutch MDMA,$85.00,trailblazer,MDMA
10 Gram - MDMA Molly (High Quality),$160.00,trailblazer,MDMA
5 Gram - Black Molly MDMA,$120.00,trailblazer,MDMA
10 Gram - Dutch MDMA %87,$190.00,MASTOK,MDMA
50 Pills - Ecstasy/XTC - 220mg,$75.00,Adis1990,Ecstasy
30 Pills Superman Ecstasy - XTC - MDMA - High Quality,$100.00,T4ZZ,Ecstasy
30 Pills Gold Ecstasy - XTC - MDMA - High Quality,$100.00,T4ZZ,Ecstasy
30 Pills Mixed Ecstasy - XTC - MDMA - High Quality,$110.00,T4ZZ,Ecstasy
30 Pills Dragon Ecstasy - XTC - MDMA - High Quality,$80.00,T4ZZ,Ecstasy
100 Mixed Ecstasy - XTC - MDMA - High Quality,$250.00,T4ZZ,Ecstasy
10 Pills Mixed Ecstasy - XTC - MDMA - High Quality,$45.00,T4ZZ,Ecstasy
100 Pills Dolphins Ecstasy - XTC - MDMA - High Quality,$220.00,T4ZZ,Ecstasy
30 Pills Special Ecstasy - XTC - MDMA,$70.00,T4ZZ,Ecstasy
100 Tabs LSD High Quality,$250.00,D1BODE,LSD
x50 LSD (Acid / LSD Tabs) 250ug,$140.00,xarthe33,LSD
30 Tabs LSD 200ug,$90.00,predator,LSD
1 Gram - DMT (Pure 100%),$80.00,dmtdex,DMT
"1 Gram Pure Crystalline N,N DMT - AAA Quality 99.7%",$50.00,urieL,DMT
5 Gram - Crystal Meth,$110.00,kite,Meth
10 Gram - Crystal Meth,$180.00,kite,Meth
50 Gram - Crystal Meth (High Quality),$750.00,kite,Meth
5 Gram - Crystal Meth (Ice),$70.00,NexuS,Meth
8.5 Gram - Crystal Meth AAA+ Quality,$100.00,BigHiLL15,Meth
50gr Crystal Meth – Methamphetamine (90%+ Purity),$360.00,brokenchemist,Meth
28gr - Crystal Meth (Clean),$110.00,brokenchemist,Meth
10gr Crystal Meth Package,$60.00,brokenchemist,Meth
Fentanyl Powder 10 Gram,$160.00,CapitalPharmacy,Fentanyl
10 Gram Carfentanil/Fentanly Powder 98% Pure,$120.00,CapitalPharmacy,Fentanyl
180 ML - GHB,$110.00,CapitalPharmacy,GHB
500 Gram- Potassium Cyanide Technical,$250.00,CapitalPharmacy,Potassium Cyanide
250 Gram - Potassium Cyanide,$180.00,CapitalPharmacy,Potassium Cyanide
